benchmark,reward,walltime,commandline
benchmark://cbench-v1/adpcm,0.0,32.96863675117493,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,35.03604531288147,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,23.645723581314087,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,33.699296951293945,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,23.7868173122406,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,24.032316207885742,opt  input.bc -o output.bc
benchmark://cbench-v1/bzip2,0.0,28.407923698425293,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,35.08165454864502,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,24.597169637680054,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,24.507303476333618,opt  input.bc -o output.bc
benchmark://cbench-v1/bzip2,0.0,27.60798215866089,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,35.53766679763794,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,33.96137475967407,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,35.0280818939209,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,25.89766240119934,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,26.557494401931763,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,40.805421113967896,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -mem2reg -adce -libcalls-shrinkwrap -sroa -redundant-dbg-inst-elim -loop-deletion -loop-simplifycfg -loop-versioning -adce -constprop -guard-widening -strip-debug-declare -ipsccp -sroa -float2int -instcombine -pgo-memop-opt -simplifycfg -early-cse-memssa -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.9911504424778761,31.560595512390137,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -constprop -gvn -loop-deletion -guard-widening -always-inline -called-value-propagation -tailcallelim -aggressive-instcombine -loop-versioning -libcalls-shrinkwrap -loop-simplifycfg -loop-versioning-licm -redundant-dbg-inst-elim -rewrite-statepoints-for-gc -gvn -instcombine -alignment-from-assumptions -redundant-dbg-inst-elim -newgvn -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9832402234636873,32.92901372909546,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -always-inline -alignment-from-assumptions -adce -die -div-rem-pairs -lowerinvoke -loop-data-prefetch -loop-unswitch -indvars -always-inline -called-value-propagation -lcssa -ee-instrument -early-cse-memssa -simplifycfg -instcombine -ipsccp -simplifycfg -early-cse-memssa -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.9867256637168142,22.84557056427002,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -early-cse-memssa -indvars -loop-deletion -loweratomic -strip-nondebug -canonicalize-aliases -mldst-motion -mldst-motion -called-value-propagation -loop-simplifycfg -mem2reg -mem2reg -dce -alignment-from-assumptions -sroa -instcombine -ee-instrument -loop-unroll-and-jam -newgvn -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.9796437659033079,22.952564477920532,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -slp-vectorizer -div-rem-pairs -loop-simplifycfg -canonicalize-aliases -indvars -cross-dso-cfi -mldst-motion -libcalls-shrinkwrap -canonicalize-aliases -canonicalize-aliases -lower-constant-intrinsics -lower-constant-intrinsics -simple-loop-unswitch -float2int -sroa -instcombine -newgvn -simplifycfg -globalsplit -lcssa -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/bzip2,1.1747383221371661,28.12679648399353,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -ee-instrument -callsite-splitting -loop-data-prefetch -libcalls-shrinkwrap -pgo-memop-opt -slsr -always-inline -constprop -nary-reassociate -libcalls-shrinkwrap -insert-gcov-profiling -constprop -float2int -strip-dead-prototypes -newgvn -instcombine -strip-debug-declare -canonicalize-aliases -early-cse-memssa -simplifycfg -simplifycfg -early-cse -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/crc32,0.9765625,23.465579509735107,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -slp-vectorizer -indvars -redundant-dbg-inst-elim -guard-widening -loop-reduce -loop-deletion -gvn -canonicalize-aliases -loweratomic -dce -hotcoldsplit -sancov -strip-debug-declare -rewrite-statepoints-for-gc -post-inline-ee-instrument -instcombine -coro-cleanup -simplifycfg -globalsplit -lcssa -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/dijkstra,0.9591836734693877,22.435579538345337,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -canonicalize-aliases -libcalls-shrinkwrap -libcalls-shrinkwrap -loop-versioning -alignment-from-assumptions -post-inline-ee-instrument -strip-debug-declare -float2int -indvars -add-discriminators -dce -alignment-from-assumptions -strip-nondebug -loop-vectorize -newgvn -instcombine -simple-loop-unswitch -ipsccp -early-cse-memssa -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/ghostscript,0.9823368971335157,428.37280440330505,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -float2int -gvn -libcalls-shrinkwrap -always-inline -loop-simplifycfg -add-discriminators -insert-gcov-profiling -add-discriminators -mldst-motion -ipconstprop -post-inline-ee-instrument -loop-vectorize -early-cse-memssa -coro-cleanup -redundant-dbg-inst-elim -instcombine -canonicalize-aliases -consthoist -newgvn -sroa -simplifycfg -early-cse -early-cse -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/gsm,1.0490537848605577,27.592038869857788,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -slp-vectorizer -die -sroa -strip-nondebug -aggressive-instcombine -loop-vectorize -loop-data-prefetch -nary-reassociate -loweratomic -loop-reduce -loop-rotate -callsite-splitting -sancov -cross-dso-cfi -instcombine -instcombine -early-cse-memssa -always-inline -post-inline-ee-instrument -simplifycfg -simplifycfg -early-cse -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/ispell,0.9866291344123856,29.826950311660767,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -barrier -mldst-motion -canonicalize-aliases -tailcallelim -tailcallelim -loop-unroll -dse -ipsccp -alignment-from-assumptions -post-inline-ee-instrument -adce -div-rem-pairs -tailcallelim -called-value-propagation -newgvn -instcombine -constprop -loop-reroll -early-cse-memssa -sroa -simplifycfg -early-cse -early-cse -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/jpeg-c,1.0148184890101373,48.5214147567749,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -guard-widening -sroa -argpromotion -strip-nondebug -early-cse-memssa -post-inline-ee-instrument -post-inline-ee-instrument -slp-vectorizer -mldst-motion -ipsccp -loop-deletion -separate-const-offset-from-gep -strip-debug-declare -guard-widening -hotcoldsplit -instcombine -adce -simplifycfg -early-cse-memssa -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/jpeg-d,1.0179658070124602,47.98751926422119,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -die -called-value-propagation -post-inline-ee-instrument -cross-dso-cfi -mem2reg -tailcallelim -div-rem-pairs -loop-versioning -mem2reg -always-inline -globalopt -dce -dce -libcalls-shrinkwrap -post-inline-ee-instrument -instcombine -mldst-motion -simplifycfg -early-cse-memssa -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/lame,1.042776892127837,35.32659292221069,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -always-inline -nary-reassociate -adce -sroa -indvars -redundant-dbg-inst-elim -loop-data-prefetch -pgo-memop-opt -loweratomic -die -gvn -loop-data-prefetch -coro-cleanup -ee-instrument -tailcallelim -instcombine -constmerge -ipsccp -slp-vectorizer -sroa -simplifycfg -early-cse -early-cse -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/patricia,0.978865406006674,28.637973308563232,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -loop-deletion -tailcallelim -slp-vectorizer -gvn -sancov -lower-guard-intrinsic -strip-nondebug -always-inline -cross-dso-cfi -ipsccp -loop-unroll -canonicalize-aliases -loop-simplify -guard-widening -mergefunc -instcombine -mem2reg -loop-versioning-licm -early-cse-memssa -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/qsort,1.1207430340557276,27.430700302124023,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -simple-loop-unswitch -alignment-from-assumptions -indvars -early-cse-memssa -canonicalize-aliases -always-inline -loop-versioning-licm -loweratomic -deadargelim -loop-deletion -insert-gcov-profiling -loop-reroll -loop-deletion -canonicalize-aliases -cross-dso-cfi -instcombine -loop-deletion -simplifycfg -early-cse-memssa -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/rijndael,1.064775776159448,28.423049449920654,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -strip-nondebug -indvars -adce -pgo-memop-opt -add-discriminators -dse -slp-vectorizer -ee-instrument -always-inline -hotcoldsplit -loop-unswitch -instnamer -attributor -tailcallelim -early-cse-memssa -instcombine -indvars -div-rem-pairs -mem2reg -globaldce -simplifycfg -early-cse -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/sha,1.4648829431438124,26.285321474075317,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -ipsccp -mem2reg -guard-widening -loop-data-prefetch -indvars -loop-versioning-licm -instsimplify -dce -cross-dso-cfi -die -ipconstprop -loop-simplifycfg -lowerswitch -strip-debug-declare -redundant-dbg-inst-elim -instcombine -mem2reg -simplifycfg -newgvn -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/stringsearch,0.9877049180327867,27.804299354553223,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -strip-debug-declare -instsimplify -early-cse-memssa -redundant-dbg-inst-elim -mem2reg -ipconstprop -early-cse-memssa -loop-versioning-licm -coro-cleanup -callsite-splitting -mldst-motion -jump-threading -early-cse-memssa -nary-reassociate -aggressive-instcombine -instcombine -libcalls-shrinkwrap -simplifycfg -early-cse-memssa -sroa -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9850746268656715,26.665531635284424,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -loop-deletion -instsimplify -sroa -post-inline-ee-instrument -always-inline -mem2reg -canonicalize-aliases -add-discriminators -tailcallelim -constprop -loop-versioning -early-cse-memssa -alignment-from-assumptions -adce -gvn -instcombine -indvars -simplifycfg -correlated-propagation -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/susan,0.9897619657025852,29.222667455673218,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -post-inline-ee-instrument -instsimplify -rewrite-statepoints-for-gc -post-inline-ee-instrument -loop-versioning -mldst-motion -sroa -indvars -lcssa -adce -mem2reg -always-inline -instsimplify -div-rem-pairs -always-inline -instcombine -loop-reroll -simplifycfg -newgvn -simplifycfg -lower-constant-intrinsics -separate-const-offset-from-gep -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,1.0210967441527274,47.20493292808533,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -loop-data-prefetch -strip-nondebug -die -callsite-splitting -irce -ipconstprop -gvn -pgo-memop-opt -loop-reroll -strip-dead-prototypes -loop-interchange -lowerinvoke -tailcallelim -mldst-motion -coro-cleanup -instcombine -constprop -gvn -newgvn -sroa -simplifycfg -early-cse -early-cse -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/tiff2rgba,1.026317679161281,45.64581227302551,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -loop-deletion -coro-cleanup -die -ipsccp -licm -pgo-memop-opt -called-value-propagation -loop-simplifycfg -sancov -loweratomic -loweratomic -aggressive-instcombine -called-value-propagation -licm -canonicalize-aliases -instcombine -inferattrs -sroa -newgvn -sroa -simplifycfg -early-cse -early-cse -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/tiffdither,1.0256992502883506,44.26799654960632,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -ipsccp -strip-nondebug -loop-versioning -loop-data-prefetch -div-rem-pairs -div-rem-pairs -callsite-splitting -add-discriminators -sroa -tailcallelim -attributor -pgo-memop-opt -ipsccp -early-cse-memssa -early-cse-memssa -instcombine -canonicalize-aliases -canonicalize-aliases -coro-cleanup -sroa -simplifycfg -early-cse -early-cse -load-store-vectorizer -always-inline input.bc -o output.bc
benchmark://cbench-v1/tiffmedian,1.021413203100987,42.447983264923096,opt -libcalls-shrinkwrap -simple-loop-unswitch -slsr -rewrite-statepoints-for-gc -sroa -rewrite-statepoints-for-gc -aggressive-instcombine -strip-nondebug -slsr -lowerinvoke -coro-cleanup -loop-simplify -dce -div-rem-pairs -guard-widening -float2int -lowerinvoke -lowerinvoke -callsite-splitting -simplifycfg -instcombine -coro-cleanup -alignment-from-assumptions -newgvn -sroa -simplifycfg -early-cse -redundant-dbg-inst-elim -load-store-vectorizer -always-inline input.bc -o output.bc
